[2025-10-10 23:51:48,503][__main__][INFO] - Training for 50000 timesteps with NormalQNetwork and NormalReplayBuffer
[2025-10-10 23:51:55,257][core][INFO] - Step: 2000, Eval mean: 262.8, Eval std: 52.92409659125038
[2025-10-10 23:52:01,788][core][INFO] - Step: 4000, Eval mean: 243.4, Eval std: 65.53655468515262
[2025-10-10 23:52:08,495][core][INFO] - Step: 6000, Eval mean: 181.4, Eval std: 57.339689570139804
[2025-10-10 23:52:14,734][core][INFO] - Step: 8000, Eval mean: 98.2, Eval std: 2.638181191654584
[2025-10-10 23:52:21,374][core][INFO] - Step: 10000, Eval mean: 116.9, Eval std: 5.18555686498567
[2025-10-10 23:52:28,784][core][INFO] - Step: 12000, Eval mean: 108.0, Eval std: 3.4641016151377544
[2025-10-10 23:52:35,838][core][INFO] - Step: 14000, Eval mean: 149.4, Eval std: 7.578918128598566
[2025-10-10 23:52:43,647][core][INFO] - Step: 16000, Eval mean: 250.2, Eval std: 12.416118556135006
[2025-10-10 23:52:53,287][core][INFO] - Step: 18000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:53:02,546][core][INFO] - Step: 20000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:53:12,345][core][INFO] - Step: 22000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:53:21,729][core][INFO] - Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:53:31,394][core][INFO] - Step: 26000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:53:40,597][core][INFO] - Step: 28000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:53:50,113][core][INFO] - Step: 30000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:53:59,170][core][INFO] - Step: 32000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:54:08,422][core][INFO] - Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:54:17,980][core][INFO] - Step: 36000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:54:27,970][core][INFO] - Step: 38000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:54:38,328][core][INFO] - Step: 40000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:54:48,130][core][INFO] - Step: 42000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:54:57,562][core][INFO] - Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:55:07,949][core][INFO] - Step: 46000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:55:17,904][core][INFO] - Step: 48000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:55:28,126][core][INFO] - Step: 50000, Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:55:46,509][core][INFO] - Final Eval mean: 500.0, Eval std: 0.0
[2025-10-10 23:55:52,491][__main__][INFO] - Finish training with eval mean: 500.0
