[2025-10-15 14:26:49,243][__main__][INFO] - Training for 50000 timesteps with NormalQNetwork and PrioritizedReplayBuffer
[2025-10-15 14:27:00,572][core][INFO] - Step: 2000, Eval mean: 222.3, Eval std: 12.133012816279393
[2025-10-15 14:27:13,563][core][INFO] - Step: 4000, Eval mean: 125.3, Eval std: 10.266937225872184
[2025-10-15 14:27:28,160][core][INFO] - Step: 6000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:27:41,986][core][INFO] - Step: 8000, Eval mean: 243.9, Eval std: 78.05824748224879
[2025-10-15 14:27:55,684][core][INFO] - Step: 10000, Eval mean: 149.0, Eval std: 62.20932405998316
[2025-10-15 14:28:09,093][core][INFO] - Step: 12000, Eval mean: 100.0, Eval std: 6.0332412515993425
[2025-10-15 14:28:23,286][core][INFO] - Step: 14000, Eval mean: 227.6, Eval std: 38.78195456652488
[2025-10-15 14:28:38,005][core][INFO] - Step: 16000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:28:52,929][core][INFO] - Step: 18000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:29:09,032][core][INFO] - Step: 20000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:29:24,977][core][INFO] - Step: 22000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:29:40,149][core][INFO] - Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:29:55,810][core][INFO] - Step: 26000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:30:09,645][core][INFO] - Step: 28000, Eval mean: 107.8, Eval std: 2.8913664589601926
[2025-10-15 14:30:24,442][core][INFO] - Step: 30000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:30:37,924][core][INFO] - Step: 32000, Eval mean: 97.6, Eval std: 5.589275444992849
[2025-10-15 14:30:53,342][core][INFO] - Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:31:07,584][core][INFO] - Step: 36000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:31:21,692][core][INFO] - Step: 38000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:31:35,761][core][INFO] - Step: 40000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:31:50,008][core][INFO] - Step: 42000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:32:04,369][core][INFO] - Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:32:18,668][core][INFO] - Step: 46000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:32:33,185][core][INFO] - Step: 48000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:32:48,401][core][INFO] - Step: 50000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:33:07,566][core][INFO] - Final Eval mean: 500.0, Eval std: 0.0
[2025-10-15 14:33:12,886][__main__][INFO] - Finish training with eval mean: 500.0
