[2025-10-15 16:11:08,801][__main__][INFO] - Training for 50000 timesteps with NormalQNetwork and 100StepReplayBuffer
[2025-10-15 16:11:13,900][core][INFO] - Step: 2000, Eval mean: 52.0, Eval std: 10.601886624558858
[2025-10-15 16:11:19,903][core][INFO] - Step: 4000, Eval mean: 9.4, Eval std: 0.66332495807108
[2025-10-15 16:11:26,326][core][INFO] - Step: 6000, Eval mean: 11.7, Eval std: 3.7960505792204615
[2025-10-15 16:11:32,851][core][INFO] - Step: 8000, Eval mean: 9.1, Eval std: 0.5385164807134504
[2025-10-15 16:11:39,665][core][INFO] - Step: 10000, Eval mean: 9.6, Eval std: 1.2806248474865698
[2025-10-15 16:11:46,951][core][INFO] - Step: 12000, Eval mean: 39.0, Eval std: 16.893785839769603
[2025-10-15 16:11:54,405][core][INFO] - Step: 14000, Eval mean: 31.7, Eval std: 18.520529150107993
[2025-10-15 16:12:01,857][core][INFO] - Step: 16000, Eval mean: 38.8, Eval std: 14.253420642077465
[2025-10-15 16:12:09,625][core][INFO] - Step: 18000, Eval mean: 36.6, Eval std: 22.041778512633684
[2025-10-15 16:12:17,187][core][INFO] - Step: 20000, Eval mean: 47.7, Eval std: 18.777912557044246
[2025-10-15 16:12:24,722][core][INFO] - Step: 22000, Eval mean: 47.6, Eval std: 14.554724318928201
[2025-10-15 16:12:32,331][core][INFO] - Step: 24000, Eval mean: 54.1, Eval std: 10.774506949276148
[2025-10-15 16:12:39,893][core][INFO] - Step: 26000, Eval mean: 47.6, Eval std: 13.062924634246345
[2025-10-15 16:12:48,093][core][INFO] - Step: 28000, Eval mean: 49.4, Eval std: 14.981321704042003
[2025-10-15 16:12:56,419][core][INFO] - Step: 30000, Eval mean: 51.1, Eval std: 16.807438829280326
[2025-10-15 16:13:04,919][core][INFO] - Step: 32000, Eval mean: 79.9, Eval std: 141.43510879551795
[2025-10-15 16:13:13,190][core][INFO] - Step: 34000, Eval mean: 10.6, Eval std: 4.498888751680798
[2025-10-15 16:13:21,529][core][INFO] - Step: 36000, Eval mean: 12.3, Eval std: 5.933801479658718
[2025-10-15 16:13:29,925][core][INFO] - Step: 38000, Eval mean: 9.6, Eval std: 1.5620499351813308
[2025-10-15 16:13:38,453][core][INFO] - Step: 40000, Eval mean: 17.2, Eval std: 7.9724525711979
[2025-10-15 16:13:46,860][core][INFO] - Step: 42000, Eval mean: 9.9, Eval std: 2.4269322199023193
[2025-10-15 16:13:55,449][core][INFO] - Step: 44000, Eval mean: 26.4, Eval std: 7.683749084919419
[2025-10-15 16:14:04,246][core][INFO] - Step: 46000, Eval mean: 38.2, Eval std: 11.178550889985697
[2025-10-15 16:14:12,939][core][INFO] - Step: 48000, Eval mean: 10.5, Eval std: 2.6172504656604803
[2025-10-15 16:14:21,649][core][INFO] - Step: 50000, Eval mean: 20.2, Eval std: 8.565045242145542
[2025-10-15 16:14:25,407][core][INFO] - Final Eval mean: 79.9, Eval std: 141.43510879551795
